application_id,requested_amount_usd,repayment_term_text,interest_rate_text,monthly_installment_usd,last_payment_amount_usd,risk_grade_band,risk_grade_detail,employment_tenure_text,housing_status,annual_income_usd,income_verification_status,origination_month,outcome_status,loan_purpose,region_code,debt_to_income_ratio,credit_score_low,credit_score_high,open_credit_lines,public_records_count,revolving_utilization_text
60656865,28000.0, 36 months,7.26,867.9,867.9,A,A4,3 years,MORTGAGE,145000.0,Verified,Sep-2015,Charged Off,home_improvement,GA,11.28,715.0,719.0,15.0,0.0,57.8
62146373,20000.0, 60 months,24.99,586.91,586.91,F,F4,9 years,MORTGAGE,60000.0,Verified,Oct-2015,Charged Off,debt_consolidation,CA,13.78,660.0,664.0,11.0,1.0,60.6
76014211,15025.0, 60 months,28.99,476.84,11681.74,G,G5,3 years,RENT,72000.0,Verified,Apr-2016,Fully Paid,debt_consolidation,CA,8.28,670.0,674.0,8.0,0.0,37.9
38515989,9600.0, 36 months,14.31,329.56,329.56,C,C4,9 years,RENT,67000.0,Source Verified,Jan-2015,Charged Off,other,IL,36.57,670.0,674.0,24.0,0.0,92.6
63215206,26000.0, 60 months,9.17,541.87,17988.1,B,B2,10+ years,MORTGAGE,67000.0,Not Verified,Oct-2015,Fully Paid,debt_consolidation,IN,18.43,720.0,724.0,15.0,0.0,24.3
51858630,4000.0, 36 months,16.55,141.72,703.2,D,D2,2 years,RENT,15000.0,Not Verified,Jun-2015,Fully Paid,debt_consolidation,AZ,5.6,675.0,679.0,15.0,0.0,54.7
46175535,12000.0, 36 months,6.39,367.19,9905.32,A,A2,1 year,MORTGAGE,140000.0,Source Verified,Apr-2015,Fully Paid,home_improvement,CA,2.71,690.0,694.0,10.0,0.0,15.4
58060553,9600.0, 36 months,6.24,293.1,655.69,A,A2,3 years,RENT,58000.0,Source Verified,Aug-2015,Fully Paid,credit_card,NY,6.6,690.0,694.0,18.0,0.0,33.8
76182224,6000.0, 36 months,11.99,199.26,199.26,C,C1,1 year,RENT,29000.0,Source Verified,Apr-2016,Charged Off,debt_consolidation,OH,17.76,660.0,664.0,7.0,1.0,34.2
55330447,6175.0, 36 months,17.86,222.81,222.81,D,D5,< 1 year,OWN,40000.0,Source Verified,Jul-2015,Charged Off,debt_consolidation,CO,35.28,705.0,709.0,11.0,0.0,34.6
80769687,7000.0, 36 months,7.89,219.0,212.86,A,A5,7 years,RENT,80000.0,Source Verified,Jun-2016,Fully Paid,other,CA,9.36,670.0,674.0,12.0,1.0,5.6
38657476,24000.0, 60 months,19.99,635.72,50.0,E,E3,2 years,MORTGAGE,94000.0,Verified,Jan-2015,Charged Off,debt_consolidation,CO,8.02,665.0,669.0,14.0,1.0,44.6
45072204,5000.0, 36 months,11.53,164.96,164.59,B,B5,1 year,RENT,19200.0,Not Verified,Apr-2015,Fully Paid,debt_consolidation,CA,17.5,700.0,704.0,11.0,0.0,46.5
46416643,22800.0, 60 months,13.33,522.63,21181.05,C,C3,10+ years,OWN,75000.0,Source Verified,May-2015,Fully Paid,debt_consolidation,MS,12.18,720.0,724.0,7.0,0.0,62.1
113048110,16000.0, 36 months,18.06,578.93,12220.4,D,D2,< 1 year,MORTGAGE,115000.0,Source Verified,Jul-2017,Fully Paid,home_improvement,NY,1.87,705.0,709.0,10.0,1.0,28.9
57753081,21000.0, 60 months,11.53,462.17,462.17,B,B5,2 years,MORTGAGE,100000.0,Not Verified,Aug-2015,Charged Off,debt_consolidation,TX,28.56,725.0,729.0,11.0,0.0,89.2
59935353,35000.0, 60 months,20.99,946.68,27810.35,E,E5,4 years,MORTGAGE,97310.0,Verified,Sep-2015,Fully Paid,debt_consolidation,MI,20.16,665.0,669.0,19.0,0.0,55.0
83183711,24000.0, 36 months,5.32,722.76,12567.61,A,A1,3 years,MORTGAGE,250000.0,Source Verified,Jun-2016,Fully Paid,debt_consolidation,CA,13.13,705.0,709.0,10.0,0.0,36.5
65179590,7000.0, 36 months,9.99,225.84,225.84,B,B3,< 1 year,RENT,64000.0,Source Verified,Nov-2015,Charged Off,debt_consolidation,OH,18.66,690.0,694.0,20.0,1.0,33.5
53302701,3000.0, 36 months,13.99,102.52,102.52,C,C4,8 years,RENT,50000.0,Not Verified,Jul-2015,Charged Off,other,NC,14.19,660.0,664.0,18.0,1.0,61.1
46274115,16000.0, 36 months,12.69,536.72,536.72,C,C2,5 years,MORTGAGE,75000.0,Not Verified,Apr-2015,Charged Off,debt_consolidation,VA,8.0,665.0,669.0,14.0,1.0,44.1
67397969,4000.0, 36 months,14.48,137.65,137.65,C,C5,3 years,OWN,140000.0,Source Verified,Dec-2015,Charged Off,other,MN,2.61,665.0,669.0,12.0,0.0,14.3
77501091,8000.0, 36 months,9.16,255.0,255.0,B,B2,2 years,OWN,60000.0,Source Verified,Apr-2016,Charged Off,credit_card,PA,17.98,660.0,664.0,11.0,1.0,35.0
49833451,7000.0, 36 months,13.33,236.98,236.98,C,C3,,OWN,22200.0,Verified,May-2015,Charged Off,debt_consolidation,NV,8.59,670.0,674.0,10.0,1.0,35.1
65018234,7000.0, 36 months,10.99,229.14,229.14,B,B4,1 year,RENT,36000.0,Source Verified,Nov-2015,Charged Off,debt_consolidation,CA,26.0,715.0,719.0,8.0,0.0,84.4
38649546,14850.0, 36 months,11.44,489.28,488.86,B,B4,2 years,RENT,55000.0,Not Verified,Jan-2015,Fully Paid,debt_consolidation,NY,21.6,740.0,744.0,12.0,0.0,41.0
38301275,11400.0, 36 months,8.19,358.24,3358.23,A,A5,2 years,RENT,30000.0,Not Verified,Jan-2015,Fully Paid,debt_consolidation,MI,15.36,670.0,674.0,7.0,0.0,77.3
60095227,21000.0, 60 months,21.99,579.88,17068.52,F,F1,7 years,MORTGAGE,105000.0,Source Verified,Sep-2015,Fully Paid,debt_consolidation,TX,29.43,680.0,684.0,16.0,0.0,68.3
65747038,24000.0, 36 months,13.18,810.74,810.74,C,C3,3 years,RENT,105000.0,Source Verified,Nov-2015,Charged Off,other,TX,14.37,680.0,684.0,20.0,0.0,27.5
40490956,24000.0, 60 months,12.29,537.4,537.4,C,C1,10+ years,RENT,65000.0,Source Verified,Mar-2015,Charged Off,debt_consolidation,NJ,17.43,710.0,714.0,16.0,0.0,40.6
39671283,20000.0, 60 months,12.99,454.96,454.96,C,C2,< 1 year,RENT,82000.0,Source Verified,Jan-2015,Charged Off,debt_consolidation,VA,30.07,685.0,689.0,18.0,1.0,35.5
43409179,25000.0, 60 months,10.99,543.44,10052.62,B,B4,10+ years,MORTGAGE,96000.0,Source Verified,Mar-2015,Fully Paid,debt_consolidation,OK,25.44,705.0,709.0,11.0,0.0,68.0
128206781,6025.0, 36 months,9.93,194.22,194.22,B,B2,10+ years,MORTGAGE,125000.0,Not Verified,Feb-2018,Charged Off,other,MA,9.66,680.0,684.0,11.0,0.0,80.6
45964138,7500.0, 36 months,13.33,253.9,160.0,C,C3,2 years,RENT,22000.0,Source Verified,Apr-2015,Charged Off,credit_card,OH,6.0,660.0,664.0,11.0,0.0,35.7
115012563,20000.0, 60 months,7.97,405.25,16462.04,A,A5,4 years,MORTGAGE,125000.0,Not Verified,Aug-2017,Fully Paid,home_improvement,AZ,12.23,730.0,734.0,15.0,0.0,28.5
77330781,25000.0, 60 months,9.16,520.91,21904.9,B,B2,5 years,MORTGAGE,180000.0,Source Verified,May-2016,Fully Paid,credit_card,CO,10.87,680.0,684.0,17.0,0.0,65.3
117875027,30000.0, 36 months,12.62,1005.34,24026.53,C,C1,< 1 year,MORTGAGE,120000.0,Source Verified,Sep-2017,Fully Paid,home_improvement,CA,22.83,710.0,714.0,7.0,0.0,98.9
64150830,35000.0, 36 months,8.18,1099.69,11726.27,B,B1,10+ years,MORTGAGE,750000.0,Verified,Nov-2015,Fully Paid,debt_consolidation,IL,10.15,695.0,699.0,11.0,2.0,94.0
64180994,18000.0, 36 months,9.99,580.73,4536.5,B,B3,10+ years,MORTGAGE,194000.0,Not Verified,Nov-2015,Fully Paid,other,MI,20.15,670.0,674.0,21.0,0.0,87.7
61314332,12275.0, 36 months,13.33,415.55,14.3,C,C3,6 years,RENT,48000.0,Not Verified,Oct-2015,Charged Off,debt_consolidation,NY,5.2,680.0,684.0,9.0,0.0,29.7
65906196,12000.0, 36 months,10.64,390.83,390.83,B,B4,10+ years,MORTGAGE,103000.0,Verified,Dec-2015,Charged Off,credit_card,MI,17.2,720.0,724.0,6.0,0.0,71.1
60176012,24000.0, 60 months,13.33,550.14,550.14,C,C3,10+ years,RENT,64800.0,Source Verified,Sep-2015,Charged Off,other,NY,26.52,690.0,694.0,14.0,0.0,65.6
67306979,15000.0, 36 months,8.38,472.68,472.66,B,B1,4 years,RENT,90000.0,Source Verified,Dec-2015,Fully Paid,credit_card,GA,19.76,665.0,669.0,6.0,0.0,92.7
54648341,12000.0, 60 months,18.55,308.33,308.33,E,E2,7 years,mortgage,32000.0,Source Verified,Jul-2015,Charged Off,debt_consolidation,TN,20.67,665.0,669.0,10.0,0.0,60.7
65179770,10000.0, 60 months,13.67,230.98,230.98,C,C4,< 1 year,MORTGAGE,77000.0,Not Verified,Nov-2015,Charged Off,home_improvement,DE,13.62,660.0,664.0,26.0,0.0,42.9
42964796,25000.0, 36 months,16.99,891.2,890.91,D,D3,3 years,RENT,67000.0,Verified,Mar-2015,Fully Paid,debt_consolidation,NY,15.06,670.0,674.0,10.0,0.0,83.9
75760207,25000.0, 60 months,11.47,549.44,549.44,B,B5,10+ years,MORTGAGE,67092.0,Verified,Apr-2016,Charged Off,debt_consolidation,TX,25.11,730.0,734.0,34.0,0.0,22.8
118337070,12000.0, 36 months,12.62,402.14,9569.07,C,C1,10+ years,RENT,52000.0,Not Verified,Sep-2017,Fully Paid,debt_consolidation,DE,17.38,695.0,699.0,14.0,0.0,65.9
43802860,16300.0, 36 months,13.33,551.81,5289.53,C,C3,4 years,RENT,102000.0,Verified,Mar-2015,Fully Paid,debt_consolidation,TX,20.61,685.0,689.0,10.0,0.0,70.9
49963980,6000.0, 36 months,16.99,213.89,213.73,D,D3,5 years,RENT,36000.0,Verified,May-2015,Fully Paid,debt_consolidation,CA,13.67,685.0,689.0,4.0,0.0,99.2
60705407,15000.0, 60 months,18.55,385.41,13910.75,E,E2,10+ years,RENT,123500.0,Source Verified,Sep-2015,Fully Paid,other,TX,15.98,670.0,674.0,5.0,0.0,0.0
66390506,35000.0, 60 months,17.86,886.11,21195.71,D,D5,10+ years,MORTGAGE,105000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,PA,28.66,690.0,694.0,13.0,0.0,57.4
57378363,9000.0, 36 months,7.89,281.58,3535.73,A,A5,4 years,MORTGAGE,,Not Verified,Aug-2015,Fully Paid,debt_consolidation,IN,10.57,770.0,774.0,15.0,0.0,32.2
43509658,12000.0, 36 months,7.89,375.43,7408.11,A,A5,8 years,RENT,58000.0,Source Verified,Mar-2015,Fully Paid,credit_card,NY,16.12,680.0,684.0,9.0,1.0,17.2
58030506,10000.0, 60 months,9.17,208.41,208.41,B,B2,10+ years,MORTGAGE,62000.0,Not Verified,Aug-2015,Charged Off,major_purchase,MA,15.0,735.0,739.0,6.0,0.0,61.5
65696917,19200.0, 60 months,18.99,497.96,18357.27,E,E3,5 years,MORTGAGE,280000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,CA,3.84,660.0,664.0,15.0,1.0,45.1
38437333,3000.0, 36 months,14.31,102.99,102.77,C,C4,3 years,rent,20400.0,Not Verified,Jan-2015,Fully Paid,debt_consolidation,LA,36.71,685.0,689.0,5.0,0.0,68.0
83418785,35000.0, 60 months,27.49,1079.02,33828.47,F,F4,4 years,OWN,80000.0,Verified,Jun-2016,Fully Paid,debt_consolidation,NY,13.07,670.0,674.0,12.0,1.0,66.3
45365227,30000.0, 60 months,9.17,625.23,625.23,B,B2,,MORTGAGE,76000.0,Verified,Apr-2015,Charged Off,credit_card,CA,10.71,745.0,749.0,5.0,0.0,47.0
39250184,2500.0, 36 months,12.99,84.23,1792.05,C,C2,9 years,MORTGAGE,109800.0,Verified,Jan-2015,Fully Paid,debt_consolidation,MD,17.19,710.0,714.0,14.0,0.0,69.1
54128492,15400.0, 60 months,13.99,358.26,358.26,C,C4,4 years,RENT,59600.0,Source Verified,Jul-2015,Charged Off,debt_consolidation,CA,24.1,660.0,664.0,24.0,2.0,69.2
56060489,12625.0, 36 months,7.89,394.99,6744.83,A,A5,10+ years,RENT,80000.0,Not Verified,Jul-2015,Fully Paid,credit_card,FL,10.29,720.0,724.0,7.0,0.0,63.2
128644535,16000.0, 60 months,12.62,360.95,360.95,C,C1,10+ years,OWN,60000.0,Verified,Feb-2018,Charged Off,other,NV,1.0,720.0,724.0,4.0,0.0,4.0
113847740,25000.0, 36 months,10.42,811.62,15069.32,B,B3,10+ years,OWN,85000.0,Source Verified,Jul-2017,Fully Paid,debt_consolidation,TX,22.76,760.0,764.0,18.0,0.0,22.0
74764710,15000.0, 36 months,12.99,505.34,10379.33,C,C2,5 years,RENT,57000.0,Source Verified,Apr-2016,Fully Paid,debt_consolidation,TX,23.05,690.0,694.0,11.0,0.0,83.0
41398539,10000.0, 60 months,16.55,246.12,246.12,D,D2,1 year,MORTGAGE,37804.0,Not Verified,Feb-2015,Charged Off,medical,OK,30.48,680.0,684.0,15.0,1.0,60.7
42904889,16000.0, 36 months,9.17,510.07,3996.53,B,B2,7 years,RENT,41000.0,Not Verified,Mar-2015,Fully Paid,debt_consolidation,CA,27.14,710.0,714.0,7.0,0.0,42.0
63285763,17025.0, 60 months,16.99,423.03,423.03,D,D3,4 years,RENT,55000.0,Verified,Oct-2015,Charged Off,debt_consolidation,VA,32.73,690.0,694.0,10.0,2.0,57.2
65404820,5950.0, 36 months,14.33,204.32,204.32,C,C5,9 years,MORTGAGE,35000.0,Source Verified,Dec-2015,Charged Off,credit_card,CA,7.34,705.0,709.0,6.0,0.0,34.3
62944513,15000.0, 60 months,21.99,414.2,414.2,F,F1,10+ years,RENT,50000.0,Verified,Oct-2015,Charged Off,debt_consolidation,NY,19.83,665.0,669.0,9.0,2.0,54.1
59392815,15000.0, 60 months,15.61,361.67,361.67,D,D1,9 years,MORTGAGE,55494.0,Verified,Sep-2015,Charged Off,debt_consolidation,TX,20.78,680.0,684.0,8.0,0.0,94.5
78579141,20000.0, 36 months,13.67,680.36,20428.25,C,C3,10+ years,OWN,60000.0,Source Verified,May-2016,Fully Paid,debt_consolidation,NY,11.24,720.0,724.0,13.0,1.0,24.1
113683405,20000.0, 60 months,13.59,461.13,461.13,C,C2,10+ years,OWN,75000.0,Source Verified,Jul-2017,Charged Off,other,AR,28.02,700.0,704.0,20.0,0.0,44.8
81332826,10000.0, 36 months,5.32,301.15,6889.75,A,A1,2 years,MORTGAGE,85847.0,Source Verified,Jun-2016,Fully Paid,home_improvement,CA,26.56,815.0,819.0,16.0,0.0,9.8
120108690,22000.0, 60 months,18.06,559.38,559.38,D,D2,4 years,RENT,63000.0,Source Verified,Sep-2017,Charged Off,debt_consolidation,LA,29.54,740.0,744.0,6.0,0.0,13.6
47990729,15000.0, 60 months,14.65,354.1,8275.38,C,C5,3 years,RENT,45000.0,Source Verified,May-2015,Fully Paid,debt_consolidation,CA,20.24,690.0,694.0,12.0,0.0,73.4
66545545,10000.0, 36 months,11.99,332.1,4367.14,C,C1,9 years,OWN,28000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation,MD,26.79,705.0,709.0,8.0,0.0,46.7
79084630,21900.0, 36 months,16.29,773.08,22284.55,D,D1,10+ years,MORTGAGE,80000.0,Verified,May-2016,Fully Paid,debt_consolidation,OK,15.69,700.0,704.0,5.0,0.0,55.0
50466973,4000.0, 36 months,15.61,139.86,1079.52,D,D1,< 1 year,RENT,18000.0,Not Verified,May-2015,Fully Paid,debt_consolidation,TX,3.53,670.0,674.0,12.0,0.0,73.3
63439586,24000.0, 60 months,20.99,649.15,20675.94,E,E5,10+ years,RENT,80000.0,Source Verified,Nov-2015,Fully Paid,debt_consolidation,TX,25.14,670.0,674.0,11.0,0.0,89.9
54188171,11500.0, 60 months,18.55,295.48,295.48,E,E2,3 years,rent,32000.0,Verified,Jul-2015,Charged Off,debt_consolidation,VA,30.76,665.0,669.0,14.0,0.0,86.3
60346721,5600.0, 36 months,11.53,184.75,184.75,B,B5,,MORTGAGE,139000.0,Verified,Sep-2015,Charged Off,home_improvement,MD,18.96,695.0,699.0,13.0,0.0,70.0
61018276,8400.0, 36 months,9.17,267.79,267.79,B,B2,6 years,MORTGAGE,48000.0,Verified,Oct-2015,Charged Off,debt_consolidation,IL,22.1,715.0,719.0,10.0,0.0,1.0
50416073,14000.0, 36 months,13.33,473.95,473.95,C,C3,< 1 year,RENT,40000.0,Source Verified,May-2015,Charged Off,debt_consolidation,CT,12.84,665.0,669.0,7.0,0.0,94.3
61037300,4200.0, 36 months,13.99,143.53,4089.98,C,C4,5 years,RENT,34000.0,Source Verified,Oct-2015,Fully Paid,debt_consolidation,GA,13.13,710.0,714.0,13.0,0.0,35.7
79101292,21000.0, 36 months,15.31,731.17,7586.63,C,C5,6 years,RENT,60000.0,Source Verified,May-2016,Fully Paid,debt_consolidation,NY,10.78,660.0,664.0,12.0,0.0,65.2
62316561,18000.0, 36 months,9.17,573.83,573.83,B,B2,1 year,RENT,96400.0,Source Verified,Oct-2015,Charged Off,debt_consolidation,CA,10.3,665.0,669.0,12.0,0.0,90.7
45324125,12000.0, 36 months,11.53,395.89,395.73,B,B5,9 years,RENT,45000.0,Not Verified,Apr-2015,Fully Paid,debt_consolidation,OR,15.6,665.0,669.0,24.0,0.0,92.6
60950678,4975.0, 36 months,20.99,187.41,187.41,E,E5,5 years,MORTGAGE,38900.0,Source Verified,Oct-2015,Charged Off,credit_card,NJ,30.89,680.0,684.0,7.0,0.0,75.5
48524148,25000.0, 60 months,15.61,602.79,21108.59,D,D1,5 years,MORTGAGE,62000.0,Verified,May-2015,Fully Paid,small_business,NM,4.37,675.0,679.0,7.0,1.0,51.7
68008165,30000.0, 36 months,17.86,1082.47,22521.35,D,D5,< 1 year,MORTGAGE,110000.0,Verified,Dec-2015,Fully Paid,debt_consolidation,MA,15.86,670.0,674.0,14.0,1.0,55.3
79544058,9000.0, 36 months,13.67,306.16,681.85,C,C3,< 1 year,RENT,36000.0,Source Verified,May-2016,Fully Paid,debt_consolidation,CA,27.83,660.0,664.0,14.0,1.0,54.3
44895871,35000.0, 60 months,10.99,760.82,16570.32,B,B4,3 years,MORTGAGE,92500.0,Verified,Apr-2015,Fully Paid,debt_consolidation,MN,18.27,705.0,709.0,13.0,0.0,47.3
55308294,30000.0, 36 months,12.29,1000.59,14057.41,C,C1,7 years,MORTGAGE,500000.0,Verified,Jul-2015,Fully Paid,home_improvement,TX,7.81,705.0,709.0,14.0,1.0,42.0
62954382,9600.0, 36 months,12.69,322.04,50.0,C,C2,2 years,mortgage,41000.0,Source Verified,Oct-2015,Charged Off,credit_card,NC,27.48,670.0,674.0,17.0,0.0,40.0
81406945,6800.0, 36 months,19.99,252.68,909.8,D,D5,5 years,OWN,20000.0,Verified,Jun-2016,Fully Paid,debt_consolidation,NJ,37.33,665.0,669.0,5.0,0.0,80.6
112707263,20000.0, 36 months, 9.44 ,640.1,13524.66,B,B1,7 years,RENT,55000.0,Not Verified,Jul-2017,Fully Paid,debt_consolidation,MN,15.89,775.0,779.0,5.0,0.0,20.4
62569131,20000.0, 36 months,9.17,637.58,4970.54,B,B2,,MORTGAGE,100000.0,Source Verified,Oct-2015,Fully Paid,debt_consolidation,NC,12.01,685.0,689.0,13.0,0.0,86.4
65655516,10000.0, 36 months,11.49,329.72,329.72,B,B5,1 year,RENT,55000.0,Source Verified,Nov-2015,Charged Off,credit_card,WI,31.33,690.0,694.0,15.0,0.0,50.0
43977348,35000.0, 60 months,17.57,880.61,22817.6,D,D4,3 years,MORTGAGE,78000.0,Verified,Apr-2015,Fully Paid,debt_consolidation,HI,11.66,680.0,684.0,8.0,0.0,93.6
78189184,10000.0, 36 months,5.32,301.15,0.81,A,A1,10+ years,MORTGAGE,165000.0,Not Verified,May-2016,Fully Paid,home_improvement,TX,4.23,805.0,809.0,17.0,0.0,6.5
56017675,20000.0, 60 months,11.53,440.16,11626.54,B,B5,10+ years,MORTGAGE,58500.0,Not Verified,Jul-2015,Fully Paid,debt_consolidation,MD,17.54,740.0,744.0,11.0,0.0,60.5
63425733,9075.0, 36 months,12.29,302.68,626.9,C,C1,6 years,MORTGAGE,42000.0,Verified,Oct-2015,Fully Paid,debt_consolidation,TX,20.21,700.0,704.0,10.0,0.0,75.2
61882410,30000.0, 36 months,17.86,1082.47,1090.66,D,D5,10+ years,RENT,86000.0,Verified,Oct-2015,Fully Paid,debt_consolidation,CA,8.68,670.0,674.0,7.0,0.0,88.0
50748300,12000.0, 36 months,7.26,371.96,371.92,A,A4,1 year,RENT,50000.0,Source Verified,Jun-2015,Fully Paid,other,FL,16.39,690.0,694.0,6.0,0.0,67.9
36803880,35000.0, 60 months,15.59,843.53,843.53,D,D1,10+ years,OWN,450000.0,Verified,Jan-2015,Charged Off,small_business,PA,12.54,670.0,674.0,43.0,0.0,43.0
48040709,18175.0, 60 months,15.61,438.23,438.23,D,D1,7 years,MORTGAGE,39600.0,Not Verified,May-2015,Charged Off,credit_card,NC,28.0,715.0,719.0,9.0,0.0,87.6
53584683,12175.0, 36 months,16.99,434.02,434.02,D,D3,10+ years,RENT,29000.0,Source Verified,Jul-2015,Charged Off,debt_consolidation,CA,23.86,695.0,699.0,17.0,0.0,55.6
59090847,12000.0, 36 months,8.18,377.04,9192.58,B,B1,7 years,RENT,94000.0,Source Verified,Sep-2015,Fully Paid,debt_consolidation,CA,4.9,675.0,679.0,5.0,0.0,31.8
39320272,8000.0, 36 months,13.66,272.11,5353.97,C,C3,4 years,RENT,51000.0,Source Verified,Jan-2015,Fully Paid,debt_consolidation,CA,14.82,665.0,669.0,6.0,0.0,60.1
46154424,24125.0, 36 months,15.61,843.53,8722.31,D,D1,10+ years,MORTGAGE,75000.0,Source Verified,Apr-2015,Fully Paid,debt_consolidation,TX,13.38,680.0,684.0,14.0,0.0,60.7
65322976,18000.0, 36 months,10.99,589.22,75.0,B,B4,5 years,RENT,67000.0,Source Verified,Nov-2015,Charged Off,debt_consolidation,LA,16.56,690.0,694.0,7.0,0.0,67.7
60665381,12000.0, 60 months,19.99,317.86,317.86,E,E4,,RENT,52000.0,Verified,Sep-2015,Charged Off,debt_consolidation,MO,14.29,670.0,674.0,11.0,2.0,62.0
79390947,15000.0, 36 months,10.75,489.31,2700.04,B,B4,5 years,RENT,45000.0,Not Verified,May-2016,Fully Paid,debt_consolidation,PA,29.48,730.0,734.0,13.0,0.0,33.1
66310938,6675.0, 36 months, 16.99 ,237.95,1608.98,D,D3,3 years,MORTGAGE,85000.0,Source Verified,Dec-2015,Fully Paid,debt_consolidation ,MI,26.64,710.0,714.0,19.0,1.0, 9.5 
38152053,10000.0, 36 months,10.49,324.98,324.87,B,B3,,OWN,45000.0,Verified,Jan-2015,Fully Paid,debt_consolidation,CO,28.83,670.0,674.0,14.0,0.0,74.2
61992950,10000.0, 36 months,9.99,322.63,322.63,B,B3,5 years,MORTGAGE,55000.0,Source Verified,Oct-2015,Charged Off,debt_consolidation,NV,14.1,670.0,674.0,8.0,1.0,36.0
77437601,22000.0, 36 months, 13.67 ,748.39,15308.54,C,C3,10+ years,MORTGAGE,85000.0,Source Verified,May-2016,Fully Paid,home_improvement,NY,15.35,705.0,709.0,5.0,0.0,68.2
119399798,10000.0, 36 months,13.59,339.79,6127.86,C,C2,< 1 year,MORTGAGE,45000.0,Source Verified,Sep-2017,Fully Paid,home_improvement,IL,15.39,675.0,679.0,9.0,0.0,42.0
59071941,16000.0, 60 months,16.99,397.56,397.56,D,D3,2 years,RENT,62500.0,Source Verified,Sep-2015,Charged Off,debt_consolidation,NJ,15.88,660.0,664.0,11.0,1.0,91.7
65373068,12975.0, 60 months,27.31,398.61,398.61,G,G2,10+ years,MORTGAGE,45107.0,Verified,Nov-2015,Charged Off,debt_consolidation,FL,28.87,685.0,689.0,11.0,0.0,61.5
48685859,22500.0, 36 months,5.32,677.59,677.31,A,A1,10+ years,OWN,135000.0,Source Verified,Jun-2015,Fully Paid,debt_consolidation,NY,10.94,765.0,769.0,29.0,0.0,3.2
42875140,12000.0, 36 months,7.89,375.43,7080.87,A,A5,4 years,RENT,52424.59,Source Verified,Mar-2015,Fully Paid,debt_consolidation,CA,15.19,705.0,709.0,7.0,0.0,97.8
57663624,35000.0, 36 months,8.18,1099.69,1099.35,B,B1,10+ years,MORTGAGE,165000.0,Source Verified,Aug-2015,Fully Paid,credit_card,NJ,17.44,720.0,724.0,14.0,0.0,29.5
39642305,24000.0, 36 months,12.99,808.54,507.02,C,C2,5 years,RENT,146000.0,Verified,Jan-2015,Fully Paid,other,CA,2.33,660.0,664.0,5.0,0.0,71.6
63339182,19000.0, 60 months,11.53,418.15,418.15,B,B5,9 years,MORTGAGE,70000.0,Not Verified,Oct-2015,Charged Off,debt_consolidation,OH,20.62,740.0,744.0,12.0,0.0,27.3
61982811,15000.0, 36 months,7.89,469.29,12458.43,A,A5,10+ years,RENT,83000.0,Verified,Oct-2015,Fully Paid,credit_card,MD,11.48,680.0,684.0,10.0,0.0,59.2
54423948,10000.0, 60 months,17.57,251.61,251.61,D,D4,10+ years,RENT,54000.0,Verified,Jul-2015,Charged Off,debt_consolidation,NC,14.89,680.0,684.0,11.0,1.0,28.0
