requested_amount_usd,application_date,request_title,screening_score,region_code,employment_tenure,debt_to_income
15000.0,2007-05-30,2dozen,474.0,oh,4 years,1.55
6000.0,2007-05-30,good heart bad credit!,463.0,ca,1 year,12.34
2500.0,2007-05-31,mbcoon,593.0,tx,1 year,18.43
12500.0,2007-05-31,boardwalk,578.0,tx,9 years,31.82
3000.0,2007-05-31,danthe83,536.0,mn,< 1 year,0.0
7500.0,2007-05-31,maryk2001,524.0,ga,5 years,61.47
5000.0,2007-05-31,ppatti113,520.0,ma,1 year,8.93
5000.0,2007-05-31,spidermonkey07,0.0,oh,< 1 year,6.0
4000.0,2007-05-31,brock1jd,658.0,mn,< 1 year,43.8
1000.0,2007-05-31,jprice1542,0.0,tn,< 1 year,4.61
5000.0,2007-05-31,mashowar,492.0,in,4 years,15.73
1000.0,2007-05-31,jaynesweet,581.0,ne,2 years,28.04
1000.0,2007-06-01,memorial,543.0,fl,2 years,41.35
6025.0,2007-06-01,fleurdetragedie,660.0,ga,2 years,69.84
10000.0,2007-06-01,jfirson,503.0,ks,1 year,61.07
3000.0,2007-06-01,cdc,556.0,tx,1 year,20.91
10000.0,2007-06-01,katiemass,480.0,oh,1 year,8.7
2100.0,2007-06-01,a clean sweep before buying a new house,684.0,md,1 year,10.0
5000.0,2007-06-01,kennysack,592.0,in,< 1 year,53.76
10000.0,2007-06-01,dreamerabove,600.0,ma,< 1 year,3.84
1200.0,2007-06-01,jflack,524.0,ar,4 years,0.0
4000.0,2007-06-01,ceodiva,460.0,ga,< 1 year,0.0
15000.0,2007-06-01,joelforeman,654.0,fl,2 years,27.48
1000.0,2007-06-01,auburnmk23,486.0,al,< 1 year,12.4
2500.0,2007-06-01,scott stowe,520.0,in,1 year,13.1
5000.0,2007-06-01,iamheatherleigh,0.0,ky,5 years,0.0
2500.0,2007-06-01,paying for college,547.0,fl,< 1 year,29.16
1000.0,2007-06-01,alivrum,454.0,oh,< 1 year,7.68
5000.0,2007-06-02,wbnd44,509.0,oh,1 year,20.0
5000.0,2007-06-02,skyydogg,0.0,wi,1 year,0.0
1500.0,2007-06-02,svengar7,665.0,pa,< 1 year,0.0
1000.0,2007-06-02,sopinksolovely,454.0,ny,2 years,11.12
1000.0,2007-06-02,angelbabe,561.0,ny,< 1 year,1.07
8000.0,2007-06-02,k9genetics,565.0,az,1 year,11.67
3500.0,2007-06-02,zminer,479.0,co,< 1 year,1.73
2500.0,2007-06-02,moecheeks21,444.0,ks,< 1 year,0.0
25000.0,2007-06-02,lilly,549.0,az,4 years,20.06
4500.0,2007-06-02,quisyfbaby,599.0,md,< 1 year,16.8
2000.0,2007-06-03,thesassaman,650.0,wa,< 1 year,0.0
10000.0,2007-06-03,regan117,607.0,pa,1 year,23.1
3500.0,2007-06-03,manx203,0.0,pa,< 1 year,0.0
5000.0,2007-06-03,eswist,419.0,tx,1 year,3.48
11000.0,2007-06-03,consolidate prosper,758.0,or,1 year,37.3
1500.0,2007-06-03,matt12amazing,504.0,ks,< 1 year,27.45
1500.0,2007-06-04,des,711.0,ga,1 year,58.8
1000.0,2007-06-04,i'm trying to repair my credit by paying off some old debts.,530.0,ar,< 1 year,8.51
7000.0,2007-06-04,jd2427,473.0,ga,< 1 year,23.96
25000.0,2007-06-04,annieb6283,606.0,pa,< 1 year,4.9
10000.0,2007-06-04,lenapresley,502.0,nc,< 1 year,0.0
4000.0,2007-06-04,bhissam,497.0,wv,1 year,9.87
2500.0,2007-06-04,jonelle's study abroad,709.0,ny,< 1 year,10.0
3000.0,2007-06-04,belle54304,412.0,wi,1 year,20.01
1000.0,2007-06-04,kb143,506.0,tn,3 years,13.01
7500.0,2007-06-04,fsallustio,472.0,ma,7 years,14.36
2000.0,2007-06-04,mlishuslymotvatd,507.0,ny,< 1 year,0.0
1000.0,2007-06-04,gballgamer,567.0,co,< 1 year,16.58
1100.0,2007-06-04,matthew,551.0,fl,4 years,0.72
3000.0,2007-06-04,saxman6160,0.0,co,< 1 year,4.05
1000.0,2007-06-05,queenlurline,0.0,ut,< 1 year,0.86
7000.0,2007-06-05,chrisw1025,607.0,nc,2 years,39.79
1000.0,2007-06-05,erikbell,0.0,co,4 years,6.55
5000.0,2007-06-05,baileykearns,552.0,oh,2 years,1.6
1300.0,2007-06-05,kimbbarr,643.0,nj,2 years,22.5
500.0,2007-06-05,kiana_noelle,547.0,md,4 years,18.52
1000.0,2007-06-05,raistlan,647.0,wa,7 years,7.21
1000.0,2007-06-05,chynadoll3586,531.0,al,1 year,493.6
3000.0,2007-06-06,keith24601,612.0,nj,< 1 year,6.72
2000.0,2007-06-06,nicole38,656.0,md,1 year,5.51
5000.0,2007-06-06,butterfly,528.0,va,2 years,18.4
2000.0,2007-06-06,speedy079,558.0,nj,5 years,10.85
10000.0,2007-06-06,demarishargett,461.0,nc,3 years,14.76
6700.0,2007-06-06,lovelearn,522.0,ga,2 years,4.17
20000.0,2007-06-06,back to school,690.0,nj,< 1 year,0.4
3400.0,2007-06-06,scooterodell,559.0,ny,9 years,24.36
5000.0,2007-06-06,crazymacguy,633.0,wi,< 1 year,13.03
8000.0,2007-06-06,theresaf,481.0,oh,< 1 year,12.21
6000.0,2007-06-07,tjudith,679.0,va,< 1 year,26.07
5000.0,2007-06-08,1oth-mountain-man,494.0,ny,< 1 year,5.86
9500.0,2007-06-08,moneywise,582.0,ak,1 year,1.47
3500.0,2007-06-08,tmsworld,583.0,ny,< 1 year,3.12
1500.0,2007-06-08,sapphieangel008,468.0,oh,< 1 year,3.98
10000.0,2007-06-08,fsugirl,565.0,fl,< 1 year,6.48
10000.0,2007-06-08,grngld08,576.0,va,< 1 year,46.15
800.0,2007-06-08,mozizzle86,696.0,ny,< 1 year,24.0
10000.0,2007-06-08,brianmikalw,559.0,ny,< 1 year,0.0
5000.0,2007-06-08,thephotoguy.seth,545.0,tn,< 1 year,10.18
6000.0,2007-06-08,chase,602.0,al,< 1 year,2.36
1000.0,2007-06-08,sgeorges86,626.0,sc,< 1 year,3.0
1000.0,2007-06-08,meep737,640.0,oh,1 year,5.51
15000.0,2007-06-09,laurel,528.0,ny,< 1 year,34.27
2500.0,2007-06-09,kyrstyn,509.0,pa,< 1 year,14.16
16000.0,2007-06-09,eagle8xc tuition loan,667.0,vt,1 year,22.98
2000.0,2007-06-09,emmyboo0569,607.0,va,1 year,6.91
4000.0,2007-06-09,jweme,609.0,fl,< 1 year,14.5
2000.0,2007-06-09,bizounce,450.0,mn,< 1 year,14.34
3000.0,2007-06-09,lmhsfan,,co,< 1 year,9.26
6000.0,2007-06-09,chuck ave,492.0,mo,< 1 year,12.0
2500.0,2007-06-10,rebelgrad07,549.0,ms,7 years,21.94
3000.0,2007-06-10,mtalty,481.0,in,3 years,60.11
6000.0,2007-06-10,brint,716.0,tx,< 1 year,4042.11
17000.0,2007-06-10,consolidating credit cards,653.0,md,4 years,5.96
5000.0,2007-06-10,jedurs,621.0,va,< 1 year,2.6
7500.0,2007-06-10,charles,629.0,fl,6 years,45.95
15000.0,2007-06-11,vervec,615.0,ma,8 years,15.0
4000.0,2007-06-11,debt consolidation,608.0,mn,< 1 year,0.0
4000.0,2007-06-11,nickolae3,628.0,ky,< 1 year,6.36
1000.0,2007-06-11,alison,585.0,co,< 1 year,24.0
1500.0,2007-06-11,jaja9487,493.0,oh,1 year,6.4
6500.0,2007-06-11,sammy,512.0,ma,9 years,1.84
5000.0,2007-06-11,mattd,598.0,ga,1 year,24.7
4000.0,2007-06-11,mattwalker,490.0,va,4 years,36.92
1500.0,2007-06-11,nfields1,588.0,ms,< 1 year,9.23
1000.0,2007-06-11,luckyspirit,612.0,mo,1 year,36.7
10000.0,2007-06-12,ali82fla,503.0,fl,2 years,17.3
6000.0,2007-06-12,dirtbag05,454.0,va,< 1 year,21.6
25000.0,2007-06-12,peytongunn,512.0,nc,< 1 year,0.77
10000.0,2007-06-12,ejsejsejs,0.0,mo,1 year,0.0
4975.0,2007-06-12,triple007,523.0,ga,8 years,1.84
25000.0,2007-06-12,friend in need,557.0,in,1 year,18.83
5000.0,2007-06-12,b_lucas,530.0,pa,< 1 year,0.0
15000.0,2007-06-12,oldhouserenovator,576.0,ma,2 years,17.06
3000.0,2007-06-12,keep0njeepin0n,548.0,sc,4 years,17.74
3000.0,2007-06-12,arod76,497.0,sc,3 years,10.59
12000.0,2007-06-12,tony_texan,,co,< 1 year,100.0
14000.0,2007-06-13,enturio,693.0,ny,3 years,27.98
25000.0,2007-06-13,adamdjohnson,0.0,tx,4 years,0.0
1000.0,2007-06-13,packattack25,489.0,nc,< 1 year,0.0
11000.0,2007-06-13,jar73186,0.0,ks,1 year,0.75
1000.0,2007-06-13,iamjames,535.0,mo,2 years,4.68
5000.0,2007-06-14,hotspitta4life,557.0,ny,< 1 year,9.6
5000.0,2007-06-14,sadrobot,639.0,wa,4 years,1.32
3000.0,2007-06-14,debonair,478.0,wa,1 year,48.24
1000.0,2007-06-14,jessicavk,736.0,in,2 years,25.64
4000.0,2007-06-14,chris anthony,640.0,in,4 years,48.6
12000.0,2007-06-14,responsible34,536.0,tx,< 1 year,10.15
2000.0,2007-06-14,lizoplex,549.0,tn,< 1 year,27.94
2500.0,2007-06-15,kmdones,454.0,md,< 1 year,15.07
2000.0,2007-06-15,evolution333,522.0,nc,< 1 year,0.0
7000.0,2007-06-15,ctg5ny,533.0,ga,2 years,136.56
15000.0,2007-06-15,tumalu,635.0,tx,1 year,18.91
5000.0,2007-06-15,mizzdavis,631.0,oh,1 year,20.64
2500.0,2007-06-15,djdecibal,475.0,mn,1 year,42.55
2000.0,2007-06-15,bleitheiser,445.0,wi,< 1 year,0.0
5000.0,2007-06-15,i need to refinance credit card debt that i got paying some legal fees,700.0,tx,< 1 year,16.05
3000.0,2007-06-15,selly,590.0,wv,2 years,12.6
2500.0,2007-06-15,lady_neasha,0.0,mo,1 year,8.67
25000.0,2007-06-16,emy,494.0,fl,7 years,0.0
22000.0,2007-06-16,stomping,645.0,de,2 years,37.09
2500.0,2007-06-17,trenee02,619.0,tn,< 1 year,3.0
2000.0,2007-06-17,jackie1625,628.0,oh,1 year,10.45
15000.0,2007-06-17,tdudai4,512.0,fl,10+ years,20.57
5000.0,2007-06-17,levi,611.0,mo,< 1 year,14.28
15000.0,2007-06-17,jfernando1,652.0,fl,3 years,28.33
5000.0,2007-06-17,stacked186,585.0,ny,< 1 year,1.8
9000.0,2007-06-17,rkurth34,537.0,wa,3 years,37.4
1000.0,2007-06-17,mansplace,525.0,la,< 1 year,8.36
3000.0,2007-06-17,awoodard,560.0,mo,1 year,4.8
1000.0,2007-06-18,young1jay,590.0,ct,< 1 year,13.5
1500.0,2007-06-18,chrislee4life,470.0,wa,4 years,4.44
10000.0,2007-06-18,topdog1203,490.0,wi,2 years,4.02
10000.0,2007-06-18,hungwilfredo,693.0,fl,3 years,31.65
3000.0,2007-06-18,jaj0165,634.0,al,10+ years,17.93
17000.0,2007-06-18,caterik,628.0,mi,< 1 year,22.76
1000.0,2007-06-18,smollieolliepop,603.0,tx,< 1 year,9.95
7000.0,2007-06-18,mom wants to get rid of credit card,532.0,ia,7 years,4.02
3000.0,2007-06-18,whyte_smoke_187,569.0,la,1 year,10.04
1000.0,2007-06-19,december purchases & christmas shopping,628.0,ma,< 1 year,7.8
10000.0,2007-06-19,jay,605.0,va,1 year,28.46
4000.0,2007-06-19,thepegleg,,tx,< 1 year,100.0
5000.0,2007-06-19,dbrow113,544.0,ga,2 years,32.64
1800.0,2007-06-19,ffadahunsi,516.0,ny,< 1 year,9.33
10000.0,2007-06-19,strehlj,633.0,fl,3 years,11.06
25000.0,2007-06-19,tasia_audre,483.0,nc,< 1 year,9.26
5200.0,2007-06-19,jags1677,651.0,il,< 1 year,27.04
5000.0,2007-06-19,vetri,604.0,ny,1 year,26.5
2150.0,2007-06-19,kapsig,455.0,wi,1 year,13.52
5000.0,2007-06-19,christinam84,594.0,ny,1 year,0.0
23000.0,2007-06-19,trying to consolidate debt,651.0,wa,1 year,11.27
25000.0,2007-06-19,joemattie,642.0,ak,1 year,41.64
2000.0,2007-06-19,jlb7557,529.0,ca,1 year,27.01
5000.0,2007-06-19,nerdular,617.0,ut,< 1 year,6.17
5000.0,2007-06-20,clogteachr,647.0,mi,8 years,19.75
25000.0,2007-06-20,ajo,589.0,mn,2 years,5.74
3000.0,2007-06-20,joelbacon,683.0,oh,2 years,4.69
5000.0,2007-06-20,looking for some help to pay healthcare,508.0,ny,3 years,11.1
5000.0,2007-06-20,drulover4eva2000,564.0,md,10+ years,24.6
1000.0,2007-06-20,drsray55,561.0,wv,2 years,67.14
3500.0,2007-06-21,mqs0420,572.0,al,< 1 year,0.0
7500.0,2007-06-21,mrwilson,525.0,mo,3 years,24.0
1000.0,2007-06-21,jeremysegars,482.0,tx,< 1 year,21.43
1500.0,2007-06-21,asquit,581.0,ks,1 year,2.52
10000.0,2007-06-21,loan consolidation,635.0,ca,1 year,13.35
4000.0,2007-06-21,musicjunkieg,515.0,ny,< 1 year,12.29
12000.0,2007-06-21,incognito,789.0,ma,5 years,22.72
8000.0,2007-06-21,one payment plan,595.0,ks,< 1 year,15.67
1300.0,2007-06-21,micdavhen,468.0,nc,1 year,11.53
3000.0,2007-06-21,echolis,543.0,ny,5 years,7.3
2200.0,2007-06-21,velodave,596.0,oh,2 years,0.5
25000.0,2007-06-21,callana,619.0,ma,2 years,10.29
10000.0,2007-06-21,sfpt,474.0,wi,< 1 year,12.93
1000.0,2007-06-22,brianmc21,0.0,ga,< 1 year,0.0
7500.0,2007-06-22,donguzz,528.0,ma,5 years,0.0
1000.0,2007-06-22,ninjaone,646.0,tx,< 1 year,109.2
5000.0,2007-06-22,operaprincess86,600.0,ma,1 year,10.12
10000.0,2007-06-22,flippidot,0.0,ny,2 years,0.0
3000.0,2007-06-22,digitalkp,594.0,ny,< 1 year,9.07
20000.0,2007-06-22,zu,635.0,fl,3 years,9.87
8500.0,2007-06-22,wxman,702.0,ok,1 year,30.19
1000.0,2007-06-22,andyasstronaut,561.0,tx,3 years,21.7
20000.0,2007-06-22,rexmundi,530.0,wa,4 years,0.69
3500.0,2007-06-23,kristen811,538.0,ny,7 years,13.55
8000.0,2007-06-23,reveiled,462.0,fl,< 1 year,12.38
9000.0,2007-06-23,insanebeauty222,625.0,me,< 1 year,2.81
4500.0,2007-06-23,lwilli2480,628.0,co,10+ years,15.79
1000.0,2007-06-23,audralea,710.0,ar,< 1 year,18.8
25000.0,2007-06-23,wendylou65,565.0,oh,10+ years,43.25
4000.0,2007-06-23,aliciaversteeg,666.0,oh,< 1 year,6.12
20000.0,2007-06-23,iltschi58,549.0,va,10+ years,5.2
5000.0,2007-06-23,vtnurse,650.0,vt,2 years,11.0
25000.0,2007-06-24,betsy1120,570.0,fl,2 years,22.56
4000.0,2007-06-24,forex,657.0,tx,2 years,39.55
11000.0,2007-06-24,personal loan,655.0,ny,10+ years,2.09
7000.0,2007-06-24,clean slate,647.0,md,10+ years,30.79
4000.0,2007-06-24,prettybaby80,495.0,ny,7 years,0.0
1400.0,2007-06-24,good person,488.0,ny,9 years,8.94
15000.0,2007-06-24,pap0607,695.0,sc,2 years,40.78
5000.0,2007-06-24,skywater,484.0,ar,8 years,6.63
7500.0,2007-06-24,coffeeman,510.0,md,6 years,3.94
2000.0,2007-06-24,biblioteach,505.0,nc,10+ years,1.82
20000.0,2007-06-24,dhaywood,543.0,ny,< 1 year,0.0
9000.0,2007-06-24,mareliz,566.0,ma,< 1 year,38.42
10000.0,2007-06-24,moanablu,535.0,mn,5 years,50.76
20000.0,2007-06-24,aujosh02,671.0,al,2 years,29.12
1000.0,2007-06-24,rockstar,601.0,in,1 year,0.0
15000.0,2007-06-24,choppee,480.0,sc,1 year,680.31
15000.0,2007-06-24,alc1978,534.0,co,< 1 year,8.58
2000.0,2007-06-24,tammers,535.0,nc,1 year,0.75
15000.0,2007-06-24,btmason,571.0,nc,< 1 year,23.6
20000.0,2007-06-25,g,609.0,nm,2 years,27.72
13000.0,2007-06-25,terbehr,583.0,ut,10+ years,45.78
25000.0,2007-06-25,evajones,623.0,wa,4 years,23.01
2000.0,2007-06-25,hismtngrl,527.0,co,6 years,51.73
20000.0,2007-06-25,singlemom71,596.0,ar,6 years,9.96
5250.0,2007-06-25,musics,701.0,pa,< 1 year,0.26
4000.0,2007-06-25,mfalette,524.0,wa,1 year,5.04
12000.0,2007-06-25,legacy1,533.0,tn,< 1 year,16.77
2500.0,2007-06-25,chappy84,574.0,in,1 year,3.2
6000.0,2007-06-25,canisius college,645.0,ny,< 1 year,9.51
5000.0,2007-06-25,pandora46,606.0,md,10+ years,40.88
10700.0,2007-06-25,lynniea5,542.0,va,< 1 year,10.55
3500.0,2007-06-25,injunninja,487.0,fl,1 year,0.0
3000.0,2007-06-25,fix1925,574.0,in,10+ years,0.0
6500.0,2007-06-25,cpetryk,533.0,nj,4 years,50.4
15000.0,2007-06-25,heyteacher,433.0,ga,10+ years,3.76
5000.0,2007-06-25,andrea advincula,537.0,in,3 years,47.2
20000.0,2007-06-25,skeeter,605.0,ut,1 year,0.0
18000.0,2007-06-25,magoo69,632.0,il,10+ years,33.05
5000.0,2007-06-25,willdukem07,0.0,ny,10+ years,0.0
5000.0,2007-06-25,dwgallo,600.0,nj,10+ years,18.22
3500.0,2007-06-25,sharo41,432.0,tx,2 years,4.03
1000.0,2007-06-25,teamgalvan,514.0,co,2 years,11.86
2500.0,2007-06-26,cebm82,625.0,ga,5 years,33.12
13000.0,2007-06-26,georgiadawgs45,0.0,ga,< 1 year,0.0
1000.0,2007-06-26,crawfordsgirl,493.0,mn,< 1 year,18.84
4000.0,2007-06-26,suzieklind,537.0,mn,3 years,22.95
4000.0,2007-06-26,semo_train,464.0,mo,< 1 year,100.5
25000.0,2007-06-26,dedmanshnd,651.0,tx,10+ years,41.79
1000.0,2007-06-26,psychnurse05,554.0,mn,4 years,9.19
500.0,2007-06-26,lrod420,617.0,ks,< 1 year,22.64
25000.0,2007-06-26,san_diego,646.0,co,1 year,7.94
5500.0,2007-06-27,kratos,594.0,md,< 1 year,18.76
4000.0,2007-06-27,ga71,588.0,ga,6 years,31.79
1000.0,2007-06-27,zexzcbnbabe,501.0,fl,< 1 year,10.08
1000.0,2007-06-27,help rebuild galveston,,tx,10+ years,100.0
1000.0,2007-06-27,phill0046,509.0,nc,< 1 year,1.84
6000.0,2007-06-27,singleteach,485.0,co,7 years,15.23
1000.0,2007-06-27,billkach,483.0,nj,< 1 year,7.2
1000.0,2007-06-28,orangeslices,449.0,oh,< 1 year,16.26
20000.0,2007-06-28,i would be using this loan to pay off high interest credit cards and medical bills.,631.0,ut,3 years,17.79
5000.0,2007-06-28,shameless,593.0,wi,10+ years,24.2
2500.0,2007-06-28,roselyn26,545.0,hi,1 year,15.18
3000.0,2007-06-28,melodyrcr,639.0,la,2 years,56.27
20000.0,2007-06-29,callianathomas,646.0,ny,< 1 year,25.8
3000.0,2007-06-29,samurai,726.0,nj,< 1 year,20400.0
1000.0,2007-06-29,dswilliams17,0.0,tx,< 1 year,0.0
1500.0,2007-06-29,undonefilms,543.0,nh,5 years,14.35
3500.0,2007-06-29,momtojr,661.0,nc,10+ years,242.83
5000.0,2007-06-29,ikrsone12,503.0,nj,< 1 year,3.74
25000.0,2007-06-29,so1oonnet,727.0,md,< 1 year,6.69
1200.0,2007-06-30,twinsno1,586.0,ny,< 1 year,3.63
3500.0,2007-06-30,resanchez,525.0,co,< 1 year,0.0
1000.0,2007-06-30,bigtrav2207,432.0,mo,< 1 year,414.4
20000.0,2007-06-30,ms,563.0,ny,5 years,33.04
4500.0,2007-06-30,miss stephanie,535.0,ny,< 1 year,21.03
10000.0,2007-06-30,esp-sonia,575.0,fl,4 years,0.0
8000.0,2007-06-30,fresh start,504.0,mi,6 years,36.68
1500.0,2007-06-30,cocovanilla,491.0,co,< 1 year,2.54
1500.0,2007-06-30,suprstrmandie,0.0,ks,2 years,14.4
2500.0,2007-06-30,veganshero,456.0,nj,3 years,88.4
2500.0,2007-06-30,meghanneedsyou,544.0,va,< 1 year,0.0
15000.0,2007-06-30,malcolmp,592.0,ny,< 1 year,2.37
5000.0,2007-07-01,jburt0n6,507.0,tx,3 years,63.5
3000.0,2007-07-01,backon track,522.0,ny,3 years,11.96
2500.0,2007-07-01,jenjenfrench,609.0,tx,< 1 year,12.5
25000.0,2007-07-01,realestate1,666.0,nj,10+ years,28.19
5500.0,2007-07-01,rdleathers1386,597.0,ga,< 1 year,0.0
10000.0,2007-07-01,thenewlight,482.0,ma,< 1 year,73.87
1500.0,2007-07-01,aquinas02,594.0,mo,< 1 year,0.0
22000.0,2007-07-01,john123,595.0,ny,1 year,17.11
1000.0,2007-07-01,my credit card is charging me 14%,720.0,mo,4 years,27.21
20000.0,2007-07-01,coldspring2000,724.0,ky,3 years,19.49
4000.0,2007-07-01,datboyfine,502.0,pa,1 year,6.56
1000.0,2007-07-01,sardonix,676.0,in,2 years,32.8
1100.0,2007-07-01,positiveblack,504.0,fl,< 1 year,6.78
25000.0,2007-07-01,saxwoman2,562.0,fl,< 1 year,15.36
8000.0,2007-07-02,"i intend to use this loan to pay off a credit card and most of my overdraft protection, while reducing my monthly payments (if i get my target rate).",727.0,ny,4 years,47.63
6000.0,2007-07-02,lisat041475,499.0,pa,9 years,18.91
5000.0,2007-07-02,sydneyausguy,632.0,ct,< 1 year,13.43
15000.0,2007-07-02,ttallent,621.0,tn,1 year,40.73
25000.0,2007-07-02,lil_wagner,546.0,mo,< 1 year,34.42
3500.0,2007-07-02,softwarez,644.0,fl,2 years,48.68
3000.0,2007-07-02,salman_khan,600.0,ny,1 year,2.18
5000.0,2007-07-02,kcgyrl79,539.0,ak,< 1 year,0.0
10500.0,2007-07-02,crimsonapache,467.0,al,< 1 year,6.95
11000.0,2007-07-02,dseuphoria,453.0,nj,< 1 year,6.0
1000.0,2007-07-02,jrb04k,561.0,fl,1 year,8.17
8000.0,2007-07-03,phd student,500.0,co,5 years,38.4
13000.0,2007-07-03,tmilhon,595.0,fl,< 1 year,19.95
15000.0,2007-07-03,taylor20620,519.0,fl,1 year,0.0
8000.0,2007-07-03,skeevysteve,650.0,ma,< 1 year,4.89
4500.0,2007-07-03,gmonaco21,564.0,ma,< 1 year,14.47
21000.0,2007-07-03,cleancredit,641.0,tx,< 1 year,18.43
15000.0,2007-07-03,angeltorres,492.0,fl,2 years,28.95
5000.0,2007-07-03,mgillispie,424.0,la,< 1 year,5.36
20000.0,2007-07-03,help me pay debt and live life again!!!,647.0,mn,1 year,25.32
500.0,2007-07-04,dm210,567.0,md,< 1 year,28.96
4000.0,2007-07-04,kktally,473.0,ga,1 year,4.13
15000.0,2007-07-04,bud84clt,598.0,va,7 years,12.46
1000.0,2007-07-04,burdahgirl,607.0,ga,< 1 year,36.42
5000.0,2007-07-04,sonyshox23,492.0,co,3 years,9.19
925.0,2007-07-04,sdawn07,0.0,co,< 1 year,13.2
25000.0,2007-07-04,finny311,667.0,ny,1 year,45.6
7500.0,2007-07-04,csm72,430.0,oh,4 years,16.19
2000.0,2007-07-04,garyhanna,546.0,pa,3 years,23.23
5000.0,2007-07-04,popstarchic,507.0,ms,< 1 year,23.52
1000.0,2007-07-04,makewild13,469.0,tx,1 year,1.32
10500.0,2007-07-04,farrowm,612.0,ny,1 year,32.61
4000.0,2007-07-05,mac101,567.0,dc,< 1 year,35.49
4500.0,2007-07-05,mikri,554.0,ny,5 years,4.72
2500.0,2007-07-05,ypastor,549.0,oh,4 years,37.58
8000.0,2007-07-05,meems,561.0,dc,< 1 year,6.07
2500.0,2007-07-05,missreese,566.0,tn,10+ years,19.4
5000.0,2007-07-05,newdeal80,592.0,ne,5 years,16.33
4000.0,2007-07-05,mrhe,578.0,ma,2 years,0.0
2000.0,2007-07-05,weazley,656.0,wa,2 years,12.0
1500.0,2007-07-06,challenger73,669.0,in,10+ years,23.2
500.0,2007-07-06,hotelie2011,635.0,ma,< 1 year,1.86
1000.0,2007-07-06,mrscott01,535.0,fl,< 1 year,25.5
1000.0,2007-07-06,felise32,418.0,mo,< 1 year,0.0
9825.0,2007-07-06,acordars,576.0,ca,2 years,14.28
1000.0,2007-07-06,phlsphrwrt,526.0,wi,1 year,0.0
5000.0,2007-07-06,jabruzzese,570.0,ca,6 years,21.06
8000.0,2007-07-06,pomegranate,609.0,ky,< 1 year,27.0
1000.0,2007-07-07,svbennett20,618.0,al,< 1 year,266.67
1000.0,2007-07-07,jennbuggisbroke,0.0,ga,< 1 year,0.34
25000.0,2007-07-07,antgrant27,494.0,nj,1 year,13.92
15000.0,2007-07-07,dwelters,473.0,fl,7 years,8.25
3000.0,2007-07-07,jake2089,698.0,nj,< 1 year,35.79
2500.0,2007-07-07,tony1976,574.0,ga,< 1 year,21.17
2500.0,2007-07-07,jamal69,493.0,al,< 1 year,23.88
1000.0,2007-07-07,bgboye,454.0,pa,< 1 year,1.98
2000.0,2007-07-07,krys1019,588.0,nj,< 1 year,0.0
1000.0,2007-07-07,stush1021,525.0,ny,< 1 year,0.89
