requested_amount_usd,application_date,request_title,screening_score,debt_to_income_text,region_code,employment_tenure_text,policy_code
1000,2007-05-31,jaynesweet,581,28.04%,NE,2 years,0
1000,2007-06-01,memorial,543,41.35%,FL,2 years,0
6025,2007-06-01,Fleurdetragedie,660,69.84%,GA,2 years,0
10000,2007-06-01,jfirson,503,61.07%,KS,1 year,0
3000,2007-06-01,cdc,556,20.91%,TX,1 year,0
10000,2007-06-01,katiemass,480,8.70%,OH,1 year,0
2100,2007-06-01,A clean sweep before buying a new house,684,10%,MD,1 year,0
5000,2007-06-01,kennysack,592,53.76%,IN,< 1 year,0
10000,2007-06-01,dreamerabove,600,3.84%,MA,< 1 year,0
1200,2007-06-01,jflack,524,0%,AR,4 years,0
4000,2007-06-01,ceodiva,460,0%,GA,< 1 year,0
15000,2007-06-01,joelforeman,654,27.48%,FL,2 years,0
1000,2007-06-01,auburnmk23,486,12.40%,AL,< 1 year,0
2500,2007-06-01,Scott Stowe,520,13.10%,IN,1 year,0
5000,2007-06-01,iamheatherleigh,0,0%,KY,5 years,0
2500,2007-06-01,Paying for college,547,29.16%,FL,< 1 year,0
1000,2007-06-01,alivrum,454,7.68%,OH,< 1 year,0
5000,2007-06-02,wbnd44,509,20%,OH,1 year,0
5000,2007-06-02,skyydogg,0,0%,WI,1 year,0
1500,2007-06-02,Svengar7,665,0%,PA,< 1 year,0
1000,2007-06-02,sopinksolovely,454,11.12%,NY,2 years,0
1000,2007-06-02,angelbabe,561,1.07%,NY,< 1 year,0
8000,2007-06-02,K9Genetics,565,11.67%,AZ,1 year,0
3500,2007-06-02,zminer,479,1.73%,CO,< 1 year,0
2500,2007-06-02,moecheeks21,444,0%,KS,< 1 year,0
25000,2007-06-02,Lilly,549,20.06%,AZ,4 years,0
4500,2007-06-02,QuisyFBaby,599,16.80%,MD,< 1 year,0
2000,2007-06-03,thesassaman,650,0%,WA,< 1 year,0
10000,2007-06-03,regan117,607,23.10%,PA,1 year,0
3500,2007-06-03,manx203,0,0%,PA,< 1 year,0
5000,2007-06-03,eswist,419,3.48%,TX,1 year,0
11000,2007-06-03,Consolidate Prosper,758,37.30%,OR,1 year,0
1500,2007-06-03,matt12amazing,504,27.45%,KS,< 1 year,0
1500,2007-06-04,dEs,711,58.80%,GA,1 year,0
1000,2007-06-04,I'm trying to repair my credit by paying off some old debts.,530,8.51%,AR,< 1 year,0
7000,2007-06-04,jd2427,473,23.96%,GA,< 1 year,0
25000,2007-06-04,Annieb6283,606,4.90%,PA,< 1 year,0
10000,2007-06-04,LenaPresley,502,0%,NC,< 1 year,0
4000,2007-06-04,bhissam,497,9.87%,WV,1 year,0
2500,2007-06-04,Jonelle's Study Abroad,709,10%,NY,< 1 year,0
3000,2007-06-04,belle54304,412,20.01%,WI,1 year,0
1000,2007-06-04,KB143,506,13.01%,TN,3 years,0
7500,2007-06-04,fsallustio,472,14.36%,MA,7 years,0
2000,2007-06-04,mlishuslymotvatd,507,0%,NY,< 1 year,0
1000,2007-06-04,Gballgamer,567,16.58%,CO,< 1 year,0
1100,2007-06-04,MATTHEW,551,0.72%,FL,4 years,0
3000,2007-06-04,saxman6160,0,4.05%,CO,< 1 year,0
1000,2007-06-05,queenlurline,0,0.86%,UT,< 1 year,0
7000,2007-06-05,chrisw1025,607,39.79%,NC,2 years,0
1000,2007-06-05,ErikBell,0,6.55%,CO,4 years,0
5000,2007-06-05,baileykearns,552,1.60%,OH,2 years,0
1300,2007-06-05,kimbbarr,643,22.50%,NJ,2 years,0
500,2007-06-05,Kiana_Noelle,547,18.52%,MD,4 years,0
1000,2007-06-05,Raistlan,647,7.21%,WA,7 years,0
1000,2007-06-05,chynadoll3586,531,493.60%,AL,1 year,0
3000,2007-06-06,Keith24601,612,6.72%,NJ,< 1 year,0
2000,2007-06-06,nicole38,656,5.51%,MD,1 year,0
5000,2007-06-06,Butterfly,528,18.40%,VA,2 years,0
2000,2007-06-06,speedy079,558,10.85%,NJ,5 years,0
10000,2007-06-06,demarishargett,461,14.76%,NC,3 years,0
6700,2007-06-06,LoveLearn,522,4.17%,GA,2 years,0
20000,2007-06-06,Back To School,690,0.40%,NJ,< 1 year,0
3400,2007-06-06,scooterodell,559,24.36%,NY,9 years,0
5000,2007-06-06,crazymacguy,633,13.03%,WI,< 1 year,0
8000,2007-06-06,TheresaF,481,12.21%,OH,< 1 year,0
6000,2007-06-07,tjudith,679,26.07%,VA,< 1 year,0
5000,2007-06-08,1OTH-MOUNTAIN-MAN,494,5.86%,NY,< 1 year,0
9500,2007-06-08,moneywise,582,1.47%,AK,1 year,0
3500,2007-06-08,tmsworld,583,3.12%,NY,< 1 year,0
1500,2007-06-08,Sapphieangel008,468,3.98%,OH,< 1 year,0
10000,2007-06-08,FSUgirl,565,6.48%,FL,< 1 year,0
10000,2007-06-08,GRNGLD08,576,46.15%,VA,< 1 year,0
800,2007-06-08,mozizzle86,696,24%,NY,< 1 year,0
10000,2007-06-08,brianmikalw,559,0%,NY,< 1 year,0
5000,2007-06-08,thephotoguy.seth,545,10.18%,TN,< 1 year,0
6000,2007-06-08,Chase,602,2.36%,AL,< 1 year,0
1000,2007-06-08,sgeorges86,626,3%,SC,< 1 year,0
1000,2007-06-08,meep737,640,5.51%,OH,1 year,0
15000,2007-06-09,laurel,528,34.27%,NY,< 1 year,0
2500,2007-06-09,kyrstyn,509,14.16%,PA,< 1 year,0
16000,2007-06-09,Eagle8XC Tuition loan,667,22.98%,VT,1 year,0
2000,2007-06-09,Emmyboo0569,607,6.91%,VA,1 year,0
4000,2007-06-09,jweme,609,14.50%,FL,< 1 year,0
2000,2007-06-09,Bizounce,450,14.34%,MN,< 1 year,0
3000,2007-06-09,lmhsfan,,9.26%,CO,< 1 year,0
6000,2007-06-09,Chuck Ave,492,12%,MO,< 1 year,0
2500,2007-06-10,RebelGrad07,549,21.94%,MS,7 years,0
3000,2007-06-10,mtalty,481,60.11%,IN,3 years,0
6000,2007-06-10,brint,716,4042.11%,TX,< 1 year,0
17000,2007-06-10,Consolidating credit cards,653,5.96%,MD,4 years,0
5000,2007-06-10,jedurs,621,2.60%,VA,< 1 year,0
7500,2007-06-10,Charles,629,45.95%,FL,6 years,0
15000,2007-06-11,vervec,615,15%,MA,8 years,0
4000,2007-06-11,Debt Consolidation,608,0%,MN,< 1 year,0
4000,2007-06-11,Nickolae3,628,6.36%,KY,< 1 year,0
1000,2007-06-11,Alison,585,24%,CO,< 1 year,0
1500,2007-06-11,jaja9487,493,6.40%,OH,1 year,0
6500,2007-06-11,Sammy,512,1.84%,MA,9 years,0
5000,2007-06-11,Mattd,598,24.70%,GA,1 year,0
4000,2007-06-11,mattwalker,490,36.92%,VA,4 years,0
1500,2007-06-11,nfields1,588,9.23%,MS,< 1 year,0
1000,2007-06-11,luckyspirit,612,36.70%,MO,1 year,0
10000,2007-06-12,ali82fla,503,17.30%,FL,2 years,0
6000,2007-06-12,dirtbag05,454,21.60%,VA,< 1 year,0
25000,2007-06-12,peytongunn,512,0.77%,NC,< 1 year,0
10000,2007-06-12,ejsejsejs,0,0%,MO,1 year,0
4975,2007-06-12,triple007,523,1.84%,GA,8 years,0
25000,2007-06-12,Friend in need,557,18.83%,IN,1 year,0
5000,2007-06-12,B_lucas,530,0%,PA,< 1 year,0
15000,2007-06-12,Oldhouserenovator,576,17.06%,MA,2 years,0
3000,2007-06-12,keep0njeepin0n,548,17.74%,SC,4 years,0
3000,2007-06-12,arod76,497,10.59%,SC,3 years,0
12000,2007-06-12,Tony_Texan,,100%,CO,< 1 year,0
14000,2007-06-13,enturio,693,27.98%,NY,3 years,0
25000,2007-06-13,AdamDJohnson,0,0%,TX,4 years,0
1000,2007-06-13,PackAttack25,489,0%,NC,< 1 year,0
11000,2007-06-13,jar73186,0,0.75%,KS,1 year,0
1000,2007-06-13,iamjames,535,4.68%,MO,2 years,0
5000,2007-06-14,Hotspitta4life,557,9.60%,NY,< 1 year,0
5000,2007-06-14,SadRobot,639,1.32%,WA,4 years,0
3000,2007-06-14,Debonair,478,48.24%,WA,1 year,0
1000,2007-06-14,jessicavk,736,25.64%,IN,2 years,0
4000,2007-06-14,Chris Anthony,640,48.60%,IN,4 years,0
12000,2007-06-14,Responsible34,536,10.15%,TX,< 1 year,0
2000,2007-06-14,lizoplex,549,27.94%,TN,< 1 year,0
2500,2007-06-15,kmdones,454,15.07%,MD ,< 1 year,0
2000,2007-06-15,evolution333,522,0%,NC,< 1 year,0
7000,2007-06-15,ctg5ny,533,136.56%,GA,2 years,0
15000,2007-06-15,Tumalu,635,18.91%,TX,1 year,0
5000,2007-06-15,MizzDavis,631,20.64%,OH,1 year,0
2500,2007-06-15,djdecibal,475,42.55%,MN,1 year,0
2000,2007-06-15,bleitheiser,445,0%,WI,< 1 year,0
5000,2007-06-15,I need to refinance credit card debt that I got paying some legal fees,700,16.05%,TX,< 1 year,0
3000,2007-06-15,Selly,590,12.60%,WV,2 years,0
2500,2007-06-15,Lady_Neasha,0,8.67%,MO,1 year,0
25000,2007-06-16,emy,494,0%,FL,7 years,0
22000,2007-06-16,Stomping,645,37.09%,DE,2 years,0
2500,2007-06-17,trenee02,619,3%,TN,< 1 year,0
2000,2007-06-17,jackie1625,628,10.45%,OH,1 year,0
15000,2007-06-17,TDudai4,512,20.57%,FL,10+ years,0
5000,2007-06-17,levi,611,14.28%,MO,< 1 year,0
15000,2007-06-17,jfernando1,652,28.33%,FL,3 years,0
5000,2007-06-17,Stacked186,585,1.80%,NY,< 1 year,0
9000,2007-06-17,RKurth34,537,37.40%,WA,3 years,0
1000,2007-06-17,mansplace,525,8.36%,LA,< 1 year,0
3000,2007-06-17,AWoodard,560,4.80%,MO,1 year,0
1000,2007-06-18,young1jay,590,13.50%,CT,< 1 year,0
1500,2007-06-18,chrislee4life,470,4.44%,WA,4 years,0
10000,2007-06-18,topdog1203,490,4.02%,WI,2 years,0
10000,2007-06-18,hungwilfredo,693,31.65%,FL,3 years,0
3000,2007-06-18,jaj0165,634,17.93%,AL,10+ years,0
17000,2007-06-18,caterik,628,22.76%,MI,< 1 year,0
1000,2007-06-18,smollieolliepop,603,9.95%,TX,< 1 year,0
7000,2007-06-18,Mom wants to get rid of credit card,532,4.02%,IA,7 years,0
3000,2007-06-18,whyte_smoke_187,569,10.04%,LA,1 year,0
1000,2007-06-19,December Purchases & Christmas Shopping,628,7.80%,MA,< 1 year,0
10000,2007-06-19,Jay,605,28.46%,VA,1 year,0
4000,2007-06-19,ThePegLeg,,100%,TX,< 1 year,0
5000,2007-06-19,Dbrow113,544,32.64%,GA,2 years,0
1800,2007-06-19,ffadahunsi,516,9.33%,NY,< 1 year,0
10000,2007-06-19,strehlj,633,11.06%,FL,3 years,0
25000,2007-06-19,Tasia_Audre,483,9.26%,NC,< 1 year,0
5200,2007-06-19,jags1677,651,27.04%,IL,< 1 year,0
5000,2007-06-19,Vetri,604,26.50%,NY,1 year,0
2150,2007-06-19,KapSig,455,13.52%,WI,1 year,0
5000,2007-06-19,christinam84,594,0%,NY,1 year,0
23000,2007-06-19,Trying to consolidate debt,651,11.27%,WA,1 year,0
25000,2007-06-19,JoeMattie,642,41.64%,AK,1 year,0
2000,2007-06-19,Jlb7557,529,27.01%,CA ,1 year,0
5000,2007-06-19,Nerdular,617,6.17%,UT,< 1 year,0
5000,2007-06-20,clogteachr,647,19.75%,MI,8 years,0
25000,2007-06-20,ajo,589,5.74%,MN,2 years,0
3000,2007-06-20,JoelBacon,683,4.69%,OH,2 years,0
5000,2007-06-20,Looking for some help to pay healthcare ,508,11.10%,NY,3 years,0
5000,2007-06-20,drulover4eva2000,564,24.60%,MD,10+ years,0
1000,2007-06-20,drsray55,561,67.14%,WV,2 years,0
3500,2007-06-21,mqs0420,572,0%,AL,< 1 year,0
7500,2007-06-21,mrwilson,525,24%,MO,3 years,0
1000,2007-06-21,jeremysegars,482,21.43%,TX,< 1 year,0
1500,2007-06-21,asquit,581,2.52%,KS,1 year,0
10000,2007-06-21,Loan Consolidation,635,13.35%,CA,1 year,0
4000,2007-06-21,musicjunkieg,515,12.29%,NY,< 1 year,0
12000,2007-06-21,incognito,789,22.72%,MA,5 years,0
8000,2007-06-21,One Payment Plan,595,15.67%,KS ,< 1 year,0
1300,2007-06-21,micdavhen,468,11.53%,NC,1 year,0
3000,2007-06-21,echolis,543,7.30%,NY,5 years,0
2200,2007-06-21,velodave,596,0.50%,OH,2 years,0
25000,2007-06-21,callana,619,10.29%,MA,2 years,0
10000,2007-06-21,SFPT,474,12.93%,WI,< 1 year,0
1000,2007-06-22,BrianMc21,0,0%,GA,< 1 year,0
7500,2007-06-22,DonGuzz,528,0%,MA,5 years,0
1000,2007-06-22,ninjaone,646,109.20%,TX,< 1 year,0
5000,2007-06-22,operaprincess86,600,10.12%,MA,1 year,0
10000,2007-06-22,flippidot,0,0%,NY,2 years,0
3000,2007-06-22,digitalkp,594,9.07%,NY,< 1 year,0
20000,2007-06-22,zu,635,9.87%,FL,3 years,0
8500,2007-06-22,wxman,702,30.19%,OK,1 year,0
1000,2007-06-22,andyasstronaut,561,21.70%,TX,3 years,0
20000,2007-06-22,RexMundi,530,0.69%,WA,4 years,0
3500,2007-06-23,Kristen811,538,13.55%,NY,7 years,0
8000,2007-06-23,reveiled,462,12.38%,FL,< 1 year,0
9000,2007-06-23,insanebeauty222,625,2.81%,ME,< 1 year,0
4500,2007-06-23,lwilli2480,628,15.79%,CO,10+ years,0
1000,2007-06-23,audralea,710,18.80%,AR,< 1 year,0
25000,2007-06-23,wendylou65,565,43.25%,OH,10+ years,0
4000,2007-06-23,aliciaversteeg,666,6.12%,OH,< 1 year,0
20000,2007-06-23,iltschi58,549,5.20%,VA,10+ years,0
5000,2007-06-23,VTNurse,650,11%,VT,2 years,0
25000,2007-06-24,betsy1120,570,22.56%,FL,2 years,0
4000,2007-06-24,Forex,657,39.55%,TX,2 years,0
11000,2007-06-24,personal loan,655,2.09%,NY,10+ years,0
7000,2007-06-24,clean slate,647,30.79%,MD,10+ years,0
4000,2007-06-24,prettybaby80,495,0%,NY,7 years,0
1400,2007-06-24,good person,488,8.94%,NY,9 years,0
15000,2007-06-24,pap0607,695,40.78%,SC,2 years,0
5000,2007-06-24,skywater,484,6.63%,AR,8 years,0
7500,2007-06-24,coffeeman,510,3.94%,MD,6 years,0
2000,2007-06-24,biblioteach,505,1.82%,NC,10+ years,0
20000,2007-06-24,DHaywood,543,0%,NY,< 1 year,0
9000,2007-06-24,mareliz,566,38.42%,MA,< 1 year,0
10000,2007-06-24,Moanablu,535,50.76%,MN,5 years,0
20000,2007-06-24,aujosh02,671,29.12%,AL,2 years,0
1000,2007-06-24,Rockstar,601,0%,IN,1 year,0
15000,2007-06-24,Choppee,480,680.31%,SC,1 year,0
15000,2007-06-24,alc1978,534,8.58%,CO,< 1 year,0
2000,2007-06-24,tammers,535,0.75%,NC,1 year,0
15000,2007-06-24,Btmason,571,23.60%,NC,< 1 year,0
20000,2007-06-25,G,609,27.72%,NM,2 years,0
13000,2007-06-25,terbehr,583,45.78%,UT,10+ years,0
25000,2007-06-25,evajones,623,23.01%,WA,4 years,0
2000,2007-06-25,Hismtngrl,527,51.73%,CO,6 years,0
20000,2007-06-25,singlemom71,596,9.96%,AR,6 years,0
5250,2007-06-25,musics,701,0.26%,PA,< 1 year,0
4000,2007-06-25,mfalette,524,5.04%,WA,1 year,0
12000,2007-06-25,legacy1,533,16.77%,TN,< 1 year,0
2500,2007-06-25,chappy84,574,3.20%,IN,1 year,0
6000,2007-06-25,Canisius College,645,9.51%,NY,< 1 year,0
5000,2007-06-25,Pandora46,606,40.88%,MD,10+ years,0
10700,2007-06-25,lynniea5,542,10.55%,VA,< 1 year,0
3500,2007-06-25,InjunNinja,487,0%,FL,1 year,0
3000,2007-06-25,fix1925,574,0%,IN,10+ years,0
6500,2007-06-25,cpetryk,533,50.40%,NJ,4 years,0
15000,2007-06-25,heyteacher,433,3.76%,GA,10+ years,0
5000,2007-06-25,Andrea Advincula,537,47.20%,IN,3 years,0
20000,2007-06-25,Skeeter,605,0%,UT,1 year,0
18000,2007-06-25,magoo69,632,33.05%,IL,10+ years,0
5000,2007-06-25,Willdukem07,0,0%,NY,10+ years,0
5000,2007-06-25,dwgallo,600,18.22%,NJ,10+ years,0
3500,2007-06-25,sharo41,432,4.03%,TX,2 years,0
1000,2007-06-25,teamgalvan,514,11.86%,CO ,2 years,0
2500,2007-06-26,cebm82,625,33.12%,GA,5 years,0
13000,2007-06-26,Georgiadawgs45,0,0%,GA,< 1 year,0
1000,2007-06-26,CrawfordsGirl,493,18.84%,MN,< 1 year,0
4000,2007-06-26,SUZIEKLIND,537,22.95%,MN,3 years,0
4000,2007-06-26,semo_train,464,100.50%,MO,< 1 year,0
25000,2007-06-26,DedMansHnd,651,41.79%,TX,10+ years,0
1000,2007-06-26,psychnurse05,554,9.19%,MN,4 years,0
500,2007-06-26,lrod420,617,22.64%,KS,< 1 year,0
25000,2007-06-26,San_Diego,646,7.94%,CO,1 year,0
5500,2007-06-27,Kratos,594,18.76%,MD,< 1 year,0
4000,2007-06-27,ga71,588,31.79%,GA,6 years,0
1000,2007-06-27,zexzcbnbabe,501,10.08%,FL,< 1 year,0
1000,2007-06-27,Help rebuild Galveston,,100%,TX,10+ years,0
1000,2007-06-27,Phill0046,509,1.84%,NC,< 1 year,0
6000,2007-06-27,singleteach,485,15.23%,CO,7 years,0
1000,2007-06-27,billkach,483,7.20%,NJ,< 1 year,0
1000,2007-06-28,orangeslices,449,16.26%,OH ,< 1 year,0
20000,2007-06-28,I would be using this loan to pay off high interest credit cards and medical bills.,631,17.79%,UT,3 years,0
5000,2007-06-28,shameless,593,24.20%,WI,10+ years,0
2500,2007-06-28,roselyn26,545,15.18%,HI,1 year,0
3000,2007-06-28,Melodyrcr,639,56.27%,LA,2 years,0
20000,2007-06-29,CallianaThomas,646,25.80%,NY,< 1 year,0
3000,2007-06-29,samurai,726,20400%,NJ,< 1 year,0
1000,2007-06-29,dswilliams17,0,0%,TX,< 1 year,0
1500,2007-06-29,undonefilms,543,14.35%,NH,5 years,0
3500,2007-06-29,momtojr,661,242.83%,NC,10+ years,0
5000,2007-06-29,ikrsone12,503,3.74%,NJ,< 1 year,0
25000,2007-06-29,so1oonnet,727,6.69%,MD,< 1 year,0
1200,2007-06-30,twinsno1,586,3.63%,NY,< 1 year,0
3500,2007-06-30,resanchez,525,0%,CO,< 1 year,0
1000,2007-06-30,bigtrav2207,432,414.40%,MO,< 1 year,0
20000,2007-06-30,ms,563,33.04%,NY,5 years,0
4500,2007-06-30,Miss Stephanie,535,21.03%,NY,< 1 year,0
10000,2007-06-30,Esp-sonia,575,0%,FL,4 years,0
8000,2007-06-30,Fresh start,504,36.68%,MI,6 years,0
1500,2007-06-30,cocovanilla,491,2.54%,CO,< 1 year,0
1500,2007-06-30,suprstrmandie,0,14.40%,KS,2 years,0
2500,2007-06-30,Veganshero,456,88.40%,NJ,3 years,0
2500,2007-06-30,meghanneedsyou,544,0%,VA,< 1 year,0
15000,2007-06-30,malcolmp,592,2.37%,NY,< 1 year,0
5000,2007-07-01,JBurt0n6,507,63.50%,TX,3 years,0
3000,2007-07-01,Backon Track,522,11.96%,NY,3 years,0
2500,2007-07-01,jenjenfrench,609,12.50%,TX,< 1 year,0
25000,2007-07-01,realestate1,666,28.19%,NJ,10+ years,0
5500,2007-07-01,rdleathers1386,597,0%,GA,< 1 year,0
10000,2007-07-01,thenewlight,482,73.87%,MA,< 1 year,0
1500,2007-07-01,aquinas02,594,0%,MO,< 1 year,0
22000,2007-07-01,john123,595,17.11%,NY,1 year,0
1000,2007-07-01,My credit card is charging me 14%,720,27.21%,MO,4 years,0
20000,2007-07-01,coldspring2000,724,19.49%,KY,3 years,0
4000,2007-07-01,datboyfine,502,6.56%,PA,1 year,0
1000,2007-07-01,sardonix,676,32.80%,IN,2 years,0
1100,2007-07-01,PositiveBlack,504,6.78%,FL,< 1 year,0
25000,2007-07-01,Saxwoman2,562,15.36%,FL,< 1 year,0
8000,2007-07-02,"I intend to use this loan to pay off a credit card and most of my overdraft protection, while reducing my monthly payments (if I get my target rate).",727,47.63%,NY,4 years,0
6000,2007-07-02,lisat041475,499,18.91%,PA,9 years,0
5000,2007-07-02,sydneyausguy,632,13.43%,CT ,< 1 year,0
15000,2007-07-02,ttallent,621,40.73%,TN,1 year,0
25000,2007-07-02,lil_wagner,546,34.42%,MO,< 1 year,0
3500,2007-07-02,softwarez,644,48.68%,FL,2 years,0
3000,2007-07-02,salman_khan,600,2.18%,NY,1 year,0
5000,2007-07-02,kcgyrl79,539,0%,AK,< 1 year,0
10500,2007-07-02,CrimsonApache,467,6.95%,AL,< 1 year,0
11000,2007-07-02,dseuphoria,453,6%,NJ,< 1 year,0
1000,2007-07-02,Jrb04k,561,8.17%,FL,1 year,0
8000,2007-07-03,PhD Student,500,38.40%,CO,5 years,0
13000,2007-07-03,Tmilhon,595,19.95%,FL,< 1 year,0
15000,2007-07-03,Taylor20620,519,0%,FL,1 year,0
8000,2007-07-03,skeevysteve,650,4.89%,MA,< 1 year,0
4500,2007-07-03,gmonaco21,564,14.47%,MA,< 1 year,0
21000,2007-07-03,cleancredit,641,18.43%,TX,< 1 year,0
15000,2007-07-03,angeltorres,492,28.95%,FL,2 years,0
5000,2007-07-03,mgillispie,424,5.36%,LA,< 1 year,0
20000,2007-07-03,Help Me Pay Debt and Live Life again!!!,647,25.32%,MN,1 year,0
500,2007-07-04,dm210,567,28.96%,MD,< 1 year,0
4000,2007-07-04,kktally,473,4.13%,GA,1 year,0
15000,2007-07-04,Bud84clt,598,12.46%,VA,7 years,0
1000,2007-07-04,burdahgirl,607,36.42%,GA,< 1 year,0
5000,2007-07-04,sonyshox23,492,9.19%,CO,3 years,0
925,2007-07-04,sdawn07,0,13.20%,CO,< 1 year,0
25000,2007-07-04,finny311,667,45.60%,NY,1 year,0
7500,2007-07-04,CSM72,430,16.19%,OH,4 years,0
2000,2007-07-04,garyhanna,546,23.23%,PA,3 years,0
5000,2007-07-04,PopStarChic,507,23.52%,MS,< 1 year,0
1000,2007-07-04,makewild13,469,1.32%,TX,1 year,0
10500,2007-07-04,farrowm,612,32.61%,NY,1 year,0
4000,2007-07-05,Mac101,567,35.49%,DC,< 1 year,0
4500,2007-07-05,Mikri,554,4.72%,NY,5 years,0
2500,2007-07-05,ypastor,549,37.58%,OH,4 years,0
8000,2007-07-05,Meems,561,6.07%,DC,< 1 year,0
2500,2007-07-05,missreese,566,19.40%,TN,10+ years,0
5000,2007-07-05,newdeal80,592,16.33%,NE,5 years,0
4000,2007-07-05,mrhe,578,0%,MA,2 years,0
2000,2007-07-05,weazley,656,12%,WA,2 years,0
1500,2007-07-06,challenger73,669,23.20%,IN,10+ years,0
500,2007-07-06,hotelie2011,635,1.86%,MA,< 1 year,0
1000,2007-07-06,mrscott01,535,25.50%,FL,< 1 year,0
1000,2007-07-06,felise32,418,0%,MO,< 1 year,0
9825,2007-07-06,acordars,576,14.28%,CA,2 years,0
1000,2007-07-06,phlsphrwrt,526,0%,WI,1 year,0
5000,2007-07-06,jabruzzese,570,21.06%,CA,6 years,0
8000,2007-07-06,Pomegranate,609,27%,KY ,< 1 year,0
1000,2007-07-07,svbennett20,618,266.67%,AL,< 1 year,0
1000,2007-07-07,jennbuggisbroke,0,0.34%,GA,< 1 year,0
25000,2007-07-07,Antgrant27,494,13.92%,NJ,1 year,0
15000,2007-07-07,dwelters,473,8.25%,FL,7 years,0
3000,2007-07-07,jake2089,698,35.79%,NJ,< 1 year,0
2500,2007-07-07,tony1976,574,21.17%,GA,< 1 year,0
2500,2007-07-07,jamal69,493,23.88%,AL,< 1 year,0
1000,2007-07-07,BgBoye,454,1.98%,PA,< 1 year,0
2000,2007-07-07,Krys1019,588,0%,NJ,< 1 year,0
1000,2007-07-07,stush1021,525,0.89%,NY,< 1 year,0
2500,2007-07-07,kg05,0,0%,FL,< 1 year,0
25000,2007-07-07,jmott428,541,1.92%,PA,1 year,0
8300,2007-07-07,JudithAnn7244,592,24.95%,KS,7 years,0
500,2007-07-07,kimmy4lsu,469,16.37%,LA,< 1 year,0
1000,2007-07-07,Summer Semester Help,553,8.27%,WA,< 1 year,0
2000,2007-07-08,naomicastillo,504,0%,IN,1 year,0
10000,2007-07-08,carlos_sarmiento,493,14.12%,FL,10+ years,0
